ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
H2806;-14.43386522;16.48584129;19:00;STILL;regarder la t‚l‚;cour 
H2806;-14.43386522;16.48584129;21:00;FEED;diner;cour
H2806;-14.43386522;16.48584129;21:30;STILL;palabrer;cour
H2806;-14.43381091;16.48592616;22:00;REST;Dormir;chambre
H2807;-14.43398056;16.48568118;07:00;WANDER;pri‚re+ pr‚paratif ‚cole;chambre (339)
H2807;233;0;07:50;STILL;aller … l'‚cole;School
H2807;-14.43388936;16.48577377;14:15;FEED;D‚jeuner;cour
H2807;-14.43388936;16.48577377;15:00;WANDER;pr‚parer Th‚;cour
H2807;233;0;17:00;STILL;reviser;School
H2807;-14.43388936;16.48577377;19:00;REST;Se reposer;cour
H2807;-14.43388936;16.48577377;19:30;STILL;reviser;cour
H2807;-14.43398056;16.48568118;23:00;REST;Dormir;chambre
H2809;-14.43395709;16.48569469;07:00;STILL;pri‚re;chambre
H2809;-14.43395709;16.48569469;07:15;FEED;petit d‚jeuner;chambre
H2809;233;0;07:40;STILL;aller … l'‚cole;School
H2809;-14.43395709;16.48569469;12:00;STILL;r‚viser;chambre
H2809;-14.43395709;16.48569469;13:00;REST;repos;chambre
H2809;-14.43388936;16.48577377;14:00;FEED;d‚jeuner;Cour
H2809;-14.43388936;16.48577377;15:00;WANDER;faire le th‚;cour
H2809;-14.43451767;16.4851758;17:00;WANDER;faire du sport;village et en dehors
H2809;-14.43395709;16.48569469;17:50;STILL;reviser;Chambre 
H2809;-14.43395709;16.48569469;22:00;REST;Dormir;chambre
H3110;-14.43383849;16.48629569;06:00;WANDER;pri‚re+ pr‚paratif ‚cole;chambre
H3110;233;0;07:40;STILL;aller … l'‚cole;School
H3110;-14.43360486;16.48656353;12:00;REST;repos;cour
H3110;-14.43383849;16.48629569;14:00;STILL;reviser;chambre 377
H3110;-14.43354988;16.48679243;17:00;WANDER;aller … la boutique;boutique (374)
H3110;-14.43383849;16.48629569;19:00;STILL;reviser;chambre
H3110;-14.43383849;16.48629569;22:00;REST;dormir;chambre
H3302;-14.43391555;16.48710278;06:00;WANDER;pr‚pare petit dej+ tache M;cour
H3302;-14.43391555;16.48710278;10:00;REST;repos;cour
H3302;-14.43391555;16.48710278;14:00;FEED;D‚jeuner;cour
H3302;-14.43391555;16.48710278;15:00;STILL;palabrer;cour
H3302;-14.43382435;16.48704362;17:00;WANDER;aller au magasin;magagin (367)
H3302;-14.43385386;16.48701533;17:10;WANDER;pr‚parer le diner;cuisine (368)
H3302;-14.43391555;16.48710278;21:00;WANDER;tache m‚nag‚re;cour
H3302;-14.43407757;16.48695751;22:00;REST;dormir;chambre
H3304;-14.43410842;16.48699609;00:00;REST;dormir;chambre
H3304;-14.43390348;16.4871375;06:30;STILL;Pri‚re;cour
H3304;-14.43390348;16.4871375;06:45;WANDER;Pr‚paratif;cour
H3304;233;0;07:40;STILL;aller … l'‚cole;School
H3304;-14.43390348;16.4871375;13:00;WANDER;tache m‚nag‚re;cour
H3304;-14.43390348;16.4871375;14:00;FEED;D‚jeuner;cour
H3304;-14.43398126;16.48695746;15:00;STILL;regarder la t‚l‚;salon
H3304;-14.43385386;16.48701533;17:00;WANDER;Pr‚parer le diner;cuisine 
H3304;-14.43398126;16.48695746;21:00;FEED;Diner;cour
H3304;-14.43390348;16.4871375;22:00;STILL;regarder la t‚l‚;salon
H3305;-14.43414463;16.48702952;07:00;STILL;pri‚re;chambre (369)
H3305;-14.43390348;16.4871375;07:30;WANDER;Tach m‚nagŠre;cour
H3305;-14.43398126;16.48695746;10:00;FEED;petit dej;salon
H3305;-14.43414463;16.48702952;11:00;STILL;connecter;chambre
H3305;-14.43390348;16.4871375;14:00;FEED;D‚jeuner;cour
H3305;-14.43396894;16.48695687;15:00;STILL;regarder la t‚l‚;salon (371)
H3305;-14.43414463;16.48702952;18:00;STILL;connecter;chambre
H3305;-14.43414463;16.48702952;21:00;STILL;palabrer;chambre
H3305;-14.43414463;16.48702952;23:00;REST;dormir;chambre
H39502;-14.42921792;16.48951443;04:00;REST;dormir;chambre
H39502;-14.42921792;16.48951443;12:00;REST;repos;chambre
H39502;-14.42923133;16.48932926;14:00;FEED;d‚jeuner;cour
H39502;-14.42921792;16.48951443;15:00;REST;Dormir;chambre
H39502;-14.42921792;16.48951443;19:00;STILL;se connecter;chambre
H4110;-14.4292717;16.4876994;00:00;REST;Dormir;chambre 
H4110;-14.4292717;16.4876994;06:00;WANDER;pri‚re+ pr‚paratif ‚cole;chambre
H4110;233;0;07:40;STILL;aller … l'‚cole;School
H4110;-14.42936289;16.48782561;14:00;FEED;d‚jeuner;cour 
H4110;-14.42936289;16.48782561;15:00;WANDER;pr‚parer le th‚;cour
H4110;-14.4292717;16.4876994;16:00;REST;dormir;chambre
H4110;-14.42936289;16.48782561;19:00;REST;repos;cour
H4110;-14.42936289;16.48782561;21:00;FEED;diner;cour
H4110;-14.4292804;16.48767715;22:00;STILL;r‚viser;salon
H41306;-14.42948115;16.4888574;07:00;WANDER;pri‚re+ pr‚paratif;cour
H41306;233;0;07:40;STILL;aller … l'‚cole;School
H41306;-14.4292338;16.4893447;13:00;WANDER;aider maman;maison 395
H41306;-14.4274575;16.48856536;17:00;WANDER;jouer;village
H41306;-14.42951614;16.48898267;22:00;REST;dormir;chambre 246
H4205;-14.42973678;16.48792015;09:00;STILL;pri‚re;cour
H4205;-14.42973678;16.48792015;09:08;FEED;petit dejeuner;cour
H4205;-14.42782375;16.4890662;09:20;WANDER;aller jouer;village
H4205;-14.42973678;16.48792015;12:00;STILL;palabrer;cour
H4205;-14.43324329;16.48685441;14:00;WANDER;amener du repas;garage
H4205;-14.42973678;16.48792015;14:20;FEED;d‚jeuner;cour
H4205;-14.42973678;16.48792015;15:00;REST;dormir;cour
H4205;-14.42973678;16.48792015;17:00;WANDER;aller jouer football;cour
H4205;-14.42973678;16.48792015;19:00;STILL;pri‚re;cour
H4205;-14.42973678;16.48792015;20:00;FEED;diner;cour
H4205;-14.42973678;16.48792015;21:00;STILL;Palabrer;cour
H4205;-14.42973678;16.48792015;22:00;REST;Dormir;cour
H4207;-14.42978619;16.48779964;00:00;REST;dormir;chambre
H4207;-14.42969519;16.48797946;09:00;STILL;pri‚re;cour
H4207;-14.42969519;16.48797946;09:30;FEED;petit dejeuner;cour
H4207;-14.43188487;16.48652988;10:00;WANDER;aller jouer;village
H4207;-14.42969519;16.48797946;12:00;REST;repos;cour
H4207;-14.42969519;16.48797946;14:00;FEED;d‚jeuner;cour
H4207;-14.42969519;16.48797946;14:30;REST;Dormir;cour
H4207;-14.43317551;16.48673244;17:00;WANDER;aller au garage;garage
H4207;-14.42969519;16.48797946;20:00;STILL;pri‚re;cour
H4207;-14.42969519;16.48797946;20:30;FEED;diner;cour
H4207;-14.42969519;16.48797946;21:00;STILL;Palabrer;cour
H4511;-14.43007984;16.48786931;00:00;REST;Dormir;chambre 
H4511;-14.43007984;16.48786931;06:00;WANDER;pri‚re+ pr‚paratif ‚cole;chambre
H4511;233;0;07:40;STILL;aller … l'‚cole;School
