ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS;Fin;Vérification
0404;-14.432596594599074;16.48630425146374;10:00;WANDER;aller au marché ; marché;11:00;VRAI
0404; -14.429426350679094;16.48604551292027;11:00;WANDER;aller au magasin ; magagin 286;11:05;VRAI
0404; -14.429612764202972;16.48605772963653;11:05;WANDER;preparer le dejeuner; cuisine (cour);14:00;VRAI
0404;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner ; cour;15:00;VRAI
0404;-14.429526262963476;16.486188898541414;15:00;FEED;Thé; cour;17:00;VRAI
0404; -14.429612764202972;16.48605772963653;17:00;WANDER;préparer le diner; cuisine (cour);19:00;VRAI
0404;-14.429526262963476;16.486188898541414;19:00;REST;repos ; cour;21:00;VRAI
0404;-14.429526262963476;16.486188898541414;21:00;STILL;regarder la télé; cour ;23:00;VRAI
0404; -14.429423785598074;16.486023382277043;23:00;REST;Dormir ; chambre 283;06:00;VRAI
0405; -14.429529732831709;16.486004735724848;00:00;REST;dormir ; chambre 284;06:00;VRAI
0405; -14.429597341501356;16.48608409202162;06:00;WANDER;priére+ tache ménagére; cour ;08:00;VRAI
0405;-14.429526262963476;16.486188898541414;08:00;FEED;petit dejeuner; cour;10:00;VRAI
0405;-14.432520041617655;16.486061368693242;10:00;WANDER;aller au marcher; marché;11:00;VRAI
0405; -14.429426350679094;16.48604551292027;11:00;WANDER;magasin; magasin;11:30;VRAI
0405; -14.429612764202972;16.48605772963653;11:30;WANDER;prépaprer le diner ; cuisine;14:00;VRAI
0405;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner; cour;15:00;VRAI
0405;-14.429526262963476;16.486188898541414;15:00;REST;repos; cour;17:00;VRAI
0405; -14.429612764202972;16.48605772963653;17:00;WANDER;preparatif diner; cuisine;19:00;VRAI
0405;-14.429526262963476;16.486188898541414;19:00;STILL;priére+ repos; cour;22:00;VRAI
0405;-14.429526262963476;16.486188898541414;22:00;FEED;diner  ; cour;23:00;VRAI
0405;-14.429526262963476;16.486188898541414;23:00;STILL;palabrer; cour;00:00;VRAI
0406; -14.429490723694533;16.486001789929464;05:00;STILL;priére; chambre 285;06:00;VRAI
0406; -14.429490723694533;16.486001789929464;06:00;REST;dormir; chambre;09:00;VRAI
0406; -14.429475418099933;16.4860388139386;09:00;FEED;petit dejeuner; véranda;09:30;VRAI
0406; -14.429475418099933;16.4860388139386;09:30;REST;repos; veranda;14:00;VRAI
0406;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner ; cour;14:30;VRAI
0406; -14.429475418099933;16.4860388139386;14:30;REST;Dormir; veranda;16:00;VRAI
0406; -14.429475418099933;16.4860388139386;16:00;REST;repos; veranda;18:00;VRAI
0406;-14.429526262963476;16.486188898541414;18:00;REST;repos; cour;22:00;VRAI
0406; -14.429490723694533;16.486001789929464;22:00;REST;Dormir ; chambre;05:00;VRAI
0407;-14.429526262963476;16.486188898541414;07:00;WANDER;Priére + tâche ménagére; cour  ;08:00;VRAI
0407;-14.429526262963476;16.486188898541414;08:00;FEED;petit dejeuner; cour;09:00;VRAI
0407;-14.430951106415838;16.488962387019217;09:00;STILL;Aller à l'école coranique ; Gallé Baba;12:00;VRAI
0407; -14.429612764202972;16.48605772963653;12:00;WANDER;aider à préparer le dej; cuisine;14:00;VRAI
