DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;
12/01/1910;71;2;road;;;250;JLF;;;
12/01/1910;72;2;road;;;251;JLF;;;
12/01/1910;75;2;road;;;254;JLF;;;
12/01/1910;78;2;road;;;257;JLF;;;
12/01/1910;79;2;road;;;258;JLF;;;
12/01/1910;16;3;road;;;284;;;JLF;
12/01/1910;17;3;road;;;285;;;JLF;
12/01/1910;18;3;road;;;286;20130603-Ajout pour routes dans Ziguinchor;;JLF;
12/01/1910;71;3;road;;;339;JLF;;;
12/01/1910;72;3;road;;;340;JLF;;;
12/01/1910;73;3;road;;;341;JLF;;;
12/01/1910;74;3;road;;;342;JLF;;;
12/01/1910;75;3;road;;;343;JLF;;;
12/01/1910;78;3;road;;;346;JLF;;;
12/01/1910;17;4;road;;;374;;;JLF;
12/01/1910;18;4;road;;;375;;;JLF;
12/01/1910;66;4;road;;;423;;;JLF;
12/01/1910;67;4;road;;;424;JLF;;;
12/01/1910;68;4;road;;;425;JLF;;;
12/01/1910;69;4;road;;;426;JLF;;;
12/01/1910;70;4;road;;;427;JLF;;;
12/01/1910;71;4;road;;;428;JLF;;;
12/01/1910;77;4;road;;;434;JLF;;;
12/01/1910;78;4;road;;;435;JLF;;;
12/01/1910;18;5;road;;;464;;;JLF;
12/01/1910;62;5;road;;;508;;;JLF;
12/01/1910;63;5;road;;;509;;;JLF;
12/01/1910;64;5;road;;;510;;;JLF;
12/01/1910;65;5;road;;;511;;;JLF;
12/01/1910;66;5;road;;;512;;;JLF;
12/01/1910;67;5;road;;;513;JLF;;;
12/01/1910;68;5;road;;;514;JLF;;;
12/01/1910;78;5;road;;;524;JLF;;;
12/01/1910;79;5;road;;;525;JLF;;;
12/01/1910;18;6;road;;;553;;;JLF;
12/01/1910;60;6;road;;;595;;;JLF;
12/01/1910;61;6;road;;;596;;;JLF;
12/01/1910;62;6;road;;;597;;;JLF;
12/01/1910;79;6;road;;;614;JLF;;;
12/01/1910;80;6;road;;;615;JLF;;;
12/01/1910;18;7;road;;;642;;;JLF;
12/01/1910;19;7;road;;;643;;;JLF;
12/01/1910;39;7;road;;;663;;;JLF;
12/01/1910;40;7;road;;;664;;;JLF;
12/01/1910;60;7;road;;;684;;;JLF;
12/01/1910;79;7;road;;;703;JLF;;;
12/01/1910;80;7;road;;;704;JLF;;;
12/01/1910;81;7;road;;;705;JLF;;;
12/01/1910;82;7;road;;;706;JLF;;;
12/01/1910;83;7;road;;;707;JLF;;;
12/01/1910;18;8;road;;;731;;;JLF;
12/01/1910;19;8;road;;;732;;;JLF;
12/01/1910;20;8;road;;;733;;;JLF;
12/01/1910;21;8;road;;;734;;;JLF;
12/01/1910;36;8;road;;;749;;;JLF;
12/01/1910;37;8;road;;;750;;;JLF;
12/01/1910;38;8;road;;;751;;;JLF;
12/01/1910;39;8;road;;;752;;;JLF;
12/01/1910;40;8;road;;;753;;;JLF;
12/01/1910;41;8;road;;;754;;;JLF;
12/01/1910;42;8;road;;;755;;;JLF;
12/01/1910;43;8;road;;;756;;;JLF;
12/01/1910;44;8;road;;;757;;;JLF;
12/01/1910;45;8;road;;;758;;;JLF;
12/01/1910;46;8;road;;;759;;;JLF;
12/01/1910;60;8;road;;;773;;;JLF;
12/01/1910;76;8;road;;;789;JLF;;;
12/01/1910;77;8;road;;;790;JLF;;;
12/01/1910;78;8;road;;;791;JLF;;;
12/01/1910;79;8;road;;;792;JLF;;;
12/01/1910;83;8;road;;;796;JLF;;;
12/01/1910;84;8;road;;;797;JLF;;;
12/01/1910;85;8;road;;;798;JLF;;;
12/01/1910;86;8;road;;;799;JLF;;;
12/01/1910;11;9;road;;;813;;;JLF;
12/01/1910;18;9;road;;;820;;;JLF;
12/01/1910;21;9;road;;;823;;;JLF;
12/01/1910;22;9;road;;;824;;;JLF;
